Player,Price
Sun 10:00 am vs Sea,
No new player Notes,1.50
Chuba Hubbard Car - RB,
Sun 10:00 am vs NYJ,
Player Note,1.10
Jonnu Smith NE - TE,
Sun 1:25 pm vs Mia,
No new player Notes,1.00
Evan Engram NYG - TE,
Sun 1:25 pm vs Den,
No new player Notes,1.00
Austin Hooper Cle - TE,
Sun 1:25 pm @KC,
No new player Notes,1.00
Daniel Jones NYG - QB,
Sun 1:25 pm vs Den,
Player Note,1.10
Adam Trautman NO - TE,
Q,
Sun 1:25 pm vs GB,
No new player Notes,1.00
Hayden Hurst Atl - TE,
Sun 10:00 am vs Phi,
No new player Notes,1.00
Cole Kmet Chi - TE,
Sun 5:20 pm @LAR,
No new player Notes,1.00
Anthony Firkser Ten - TE,
Sun 10:00 am vs Ari,
No new player Notes,$-
Malcolm Brown Mia - RB,
Sun 1:25 pm @NE,
No new player Notes,$-
Carlos Hyde Jax - RB,
Sun 10:00 am @Hou,
No new player Notes,$-
Darrynton Evans Ten - RB,
Q,
Sun 10:00 am vs Ari,
No new player Notes,$-
Damien Williams Chi - RB,
Sun 5:20 pm @LAR,
No new player Notes,$-
Ty Johnson NYJ - RB,
Sun 10:00 am @Car,
No new player Notes,$-
Bryan Edwards LV - WR,
Mon 5:15 pm vs Bal,
No new player Notes,$-
Xavier Jones LAR - RB,
Sun 5:20 pm vs Chi,
No new player Notes,$-
Justin Jackson LAC - RB,
Q,
Sun 10:00 am @Was,
No new player Notes,$-
John Brown LV - WR,
Mon 5:15 pm vs Bal,
Name,Avg Salary
No new player Notes,$-
Rondale Moore Ari - WR,
Sun 10:00 am @Ten,
No new player Notes,$-
Tony Jones Jr. NO - RB,
Sun 1:25 pm vs GB,
No new player Notes,$-
Boston Scott Phi - RB,
Sun 10:00 am @Atl,
Player Note,$-
Tre'Quan Smith NO - WR,
Q,
Sun 1:25 pm vs GB,
No new player Notes,$-
Christian Kirk Ari - WR,
Sun 10:00 am @Ten,
Player Note,$-
Salvon Ahmed Mia - RB,
Sun 1:25 pm @NE,
No new player Notes,$-
Marquez Valdes-Scantling GB - WR,
Sun 1:25 pm @NO,
No new player Notes,$-
Devontae Booker NYG - RB,
Sun 1:25 pm vs Den,
No new player Notes,$-
Benny Snell Jr. Pit - RB,
Sun 10:00 am @Buf,
New Player Note,$-
Tyrell Williams Det - WR,
Q,
Sun 10:00 am vs SF,
No new player Notes,$-
Terrace Marshall Jr. Car - WR,
Sun 10:00 am vs NYJ,
No new player Notes,$-
Darius Slayton NYG - WR,
Sun 1:25 pm vs Den,
No new player Notes,$-
Ke'Shawn Vaughn TB - RB,
Thu 5:20 pm vs Dal,
Player Note,$-
Nico Collins Hou - WR,
Q,
Sun 10:00 am vs Jax,
No new player Notes,$-
Qadree Ollison Atl - RB,
Sun 10:00 am vs Phi,
No new player Notes,$-
Amon-Ra St. Brown Det - WR,
Sun 10:00 am vs SF,
No new player Notes,$-
Samaje Perine Cin - RB,
Sun 10:00 am vs Min,
No new player Notes,$-
Trent Sherfield SF - WR,
Sun 10:00 am @Det,
No new player Notes,$-
KJ Hamler Den - WR,
Q,
Sun 1:25 pm @NYG,
No new player Notes,$-
Parris Campbell Ind - WR,
Sun 10:00 am vs Sea,
No new player Notes,$-
DeSean Jackson LAR - WR,
Sun 5:20 pm vs Chi,
No new player Notes,$-
Joshua Palmer LAC - WR,
Sun 10:00 am @Was,
Player Note,$-
Joshua Kelley LAC - RB,
Sun 10:00 am @Was,
No new player Notes,$-
Gabriel Davis Buf - WR,
COVID-19,
Sun 10:00 am vs Pit,
No new player Notes,$-
Tim Patrick Den - WR,
Sun 1:25 pm @NYG,
Player Note,$-
Breshad Perriman Det - WR,
Sun 10:00 am vs SF,
No new player Notes,$-
Allen Lazard GB - WR,
Sun 1:25 pm @NO,
Player Note,$-
Donovan Peoples-Jones Cle - WR,
Sun 1:25 pm @KC,
No new player Notes,$-
Dyami Brown Was - WR,
Sun 10:00 am vs LAC,
Player Note,$-
Juwan Johnson NO - WR,
Sun 1:25 pm vs GB,
Player Note,$-
D'Wayne Eskridge Sea - WR,
Sun 10:00 am @Ind,
No new player Notes,$-
Tyrod Taylor Hou - QB,
Sun 10:00 am vs Jax,
No new player Notes,$-
Anthony McFarland Jr. Pit - RB,
Sun 10:00 am @Buf,
No new player Notes,$-
Kenneth Gainwell Phi - RB,
Sun 10:00 am @Atl,
No new player Notes,$-
Rashard Higgins Cle - WR,
Sun 1:25 pm @KC,
New Player Note,$-
Teddy Bridgewater Den - QB,
Sun 1:25 pm @NYG,
No new player Notes,$-
Keelan Cole Sr. NYJ - WR,
Sun 10:00 am @Car,
No new player Notes,$-
Josh Reynolds Ten - WR,
Sun 10:00 am vs Ari,
No new player Notes,$-
Dan Arnold Car - TE,
Sun 10:00 am vs NYJ,
No new player Notes,$-
Jeff Wilson Jr. SF - RB,
PUP-P,
