,level_0,index,Player,Team,FP,POS,Price,Avg_Price
79,126,9,Logan Thomas,WAS,129.85,TE,3.7466912569999997,2.0
80,127,8,Tyler Higbee,LAR,129.47,TE,3.6302576010000003,2.8
81,100,38,Marquise Brown,BAL,154.68,WR,3.315888611,1.2
82,134,7,Robert Tonyan,GB,126.96,TE,2.895934257,2.2
83,102,27,Raheem Mostert,SF,154.32,RB,2.7371402160000002,4.2
84,138,10,Noah Fant,DEN,125.92,TE,2.6096776090000002,2.7
85,104,41,Curtis Samuel,WAS,151.59,WR,2.593136824,1.3
86,105,39,Mike Williams,LAC,151.42,WR,2.555251377,1.7
87,139,11,Dallas Goedert,PHI,125.55,TE,2.510425215,3.1
88,103,28,Javonte Williams,DEN,152.36,RB,2.3522954769999997,4.6
89,107,47,Michael Thomas,NO,149.62,WR,2.166348693,10.9
90,108,45,Will Fuller V,MIA,148.65,WR,1.966144416,1.5
91,110,44,Marvin Jones Jr.,JAC,148.51,WR,1.9377965769999999,1.4
92,9,9,Tom Brady,TB,323.038,QB,1.76625607,4.0
93,111,43,DeVonta Smith,PHI,147.58,WR,1.753017946,1.8
94,112,46,DeVante Parker,MIA,147.53,WR,1.7432582159999999,1.3
95,109,26,Damien Harris,NE,148.53,RB,1.6608272080000002,4.8
96,113,49,Corey Davis,NYJ,144.64,WR,1.20983228,2.0
97,147,12,Mike Gesicki,MIA,119.82,TE,1.152266033,1.4
98,114,48,T.Y. Hilton,IND,143.55,WR,1.024529845,1.3
99,150,13,Irv Smith Jr.,MIN,116.62,TE,0.545865984,1.4
100,115,29,Leonard Fournette,TB,140.14,RB,0.438603895,3.2
101,116,52,Darnell Mooney,CHI,136.33,WR,0.025197215,1.5
102,159,16,Jonnu Smith,NE,112.52,TE,-0.06326420099999999,1.1
103,118,51,Antonio Brown,TB,135.37,WR,-0.067960953,2.1
104,119,50,Mecole Hardman,KC,133.99,WR,-0.187987968,1.5
105,120,30,Melvin Gordon III,DEN,133.41,RB,-0.234814883,4.9
